Product Name,Image_URL,Costco_100_Billy_Bishop_Way_North_York_On - Price,Costco_100_Billy_Bishop_Way_North_York_On - Stock,Costco_100_Billy_Bishop_Way_North_York_On - Deal,Costco_1411_Warden_Ave_Scarborough_On - Price,Costco_1411_Warden_Ave_Scarborough_On - Stock,Costco_1411_Warden_Ave_Scarborough_On - Deal,Costco_1570_Dundas_Ste_Mississauga_On - Price,Costco_1570_Dundas_Ste_Mississauga_On - Stock,Costco_1570_Dundas_Ste_Mississauga_On - Deal,Costco_2260_Islington_Ave_Etobicoke_On - Price,Costco_2260_Islington_Ave_Etobicoke_On - Stock,Costco_2260_Islington_Ave_Etobicoke_On - Deal,Costco_42_Overlea_Blvd_Toronto_On - Price,Costco_42_Overlea_Blvd_Toronto_On - Stock,Costco_42_Overlea_Blvd_Toronto_On - Deal,Costco_50_Queen_Elizabeth_Blvd_Etobicoke_On - Price,Costco_50_Queen_Elizabeth_Blvd_Etobicoke_On - Stock,Costco_50_Queen_Elizabeth_Blvd_Etobicoke_On - Deal,Costco_Business_Centre_Scarborough_Bus_Ctr_Scarborough_On - Price,Costco_Business_Centre_Scarborough_Bus_Ctr_Scarborough_On - Stock,Costco_Business_Centre_Scarborough_Bus_Ctr_Scarborough_On - Deal
"The Snakyard Quail Eggs, Stewed -Salt Baked (54 x 7.4 g)",https://tb-static.uber.com/prod/image-proc/processed_images/108223f523ddda8c27c9996f4bf43012/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,$11.19,Available,,$11.19,Available,,$11.19,Available,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$11.19,Available,,NOT CARRIED,NOT CARRIED,
"TheraBreath Fresh Breath Mouthwash, Icy Mint (2 x 1 L)",https://tb-static.uber.com/prod/image-proc/processed_images/22920d2912cc1c6a64c459f7facaac2e/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,$31.99,Available,,$31.99,Available,,$31.99,Available,,$31.99,Available,,$31.99,Available,,$31.99,Available,,NOT CARRIED,NOT CARRIED,
"ThermaCare Advanced Back Pain Therapy Heatwraps, XL (6 ct)",https://tb-static.uber.com/prod/image-proc/processed_images/ebedd9a6ac9903107ad25bcfadf1f26e/f9586c36ab7db84d09b777cee8c829b1.jpeg,$15.99,Available,,$15.99,Available,,$15.99,Available,,$15.99,Available,,$15.99,Available,,$15.99,Available,,NOT CARRIED,NOT CARRIED,
"Thermalloy Pre-Seasoned Cast Iron Skillet, 6 in",https://tb-static.uber.com/prod/image-proc/processed_images/b1a452422262a3bbba10b17c16fa37ff/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$10.65,Available,
"Three Farmers Healthy Protein Rich Snack To Go Roasted Chickpeas & Fava Beans Variety pack, Assorted (18 x 28 g)",https://tb-static.uber.com/prod/image-proc/processed_images/62bddb7b3a8a03755d71afefab8db906/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,NOT CARRIED,NOT CARRIED,,$14.92,Available,,NOT CARRIED,NOT CARRIED,,$14.92,Available,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$14.92,Available,
"Tide Pods With Downy Liquid Laundry Detergent Pacs, April Fresh (2.49 kg, 104 ct)",https://tb-static.uber.com/prod/image-proc/processed_images/1c1e2d242e9bee0d16a8d7689990e5ba/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$36.26,Available,,NOT CARRIED,NOT CARRIED,
"Tide Ultra Coldwater Clean Liquid Laundry Detergent,  124 Loads",https://tb-static.uber.com/prod/image-proc/processed_images/8062ec5e6f03ec91816594caf8493590/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,$29.86,Available,20% off,$29.86,Available,20% off,$29.86,Available,20% off,$29.86,Available,20% off,$29.86,Available,20% off,$29.86,Available,20% off,NOT CARRIED,NOT CARRIED,
Tilapia Fillets,https://tb-static.uber.com/prod/image-proc/processed_images/5a6fa7c815f9ae5f13c06af14159846c/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,$25.33,Available,,$25.33,Available,,$25.33,Available,,$25.33,Available,,$25.33,Available,,$25.33,Available,,NOT CARRIED,NOT CARRIED,
"Tim Hortons Cappuccino Sachets, Hot Chocolate-French Vanilla (28 g, 30 ct)",https://tb-static.uber.com/prod/image-proc/processed_images/bd8c8535e287422f3a158a13bacd01d7/f9586c36ab7db84d09b777cee8c829b1.jpeg,NOT CARRIED,NOT CARRIED,,$13.86,Available,,NOT CARRIED,NOT CARRIED,,$13.86,Available,,$13.86,Available,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,
Tim Hortons Colombian 80-Pack,https://tb-static.uber.com/prod/image-proc/processed_images/b67bb08788ba536cfdaa480a1c40a806/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$53.33,Available,,NOT CARRIED,NOT CARRIED,
